RetentionTime	RAW_ID	CCs	Detector	Polarity	MS dimension	Fragment name	Structure information	Lipid species	Molecular lipid species	Lipid class	MS2 Precursor m/z	MS2 Activation	MS3 Precursor m/z	MS3 Activation	Intensity	Target m/z	Measured m/z	Applied m/z correction	Corrected measured m/z	m/z offset	ppmerror	Calibration m/z offset	Is apex	Adduct	Lipid ID	Lipid category	Conflicts	Charge	C index of lipid species	DB index of lipid species	OH index of lipid species	Sum composition of lipid species	Sum formula of lipid species	C index of structure information	DB index of structure information	OH index of structure information	Sum composition of structure information	Sum formula of structure information	MS2 collision energy	MS3 collision energy	Range ID
12.2	File_263.1481397154885_12.20	263.1481397154885	FTMS	+	ms2	-FA 27:2(FA)	FA 27:2	PC 32:2	PC 5:0-27:2	PC	730.538132	cid			147.0	324.157051	324.15662337863665	-0.0	324.15662337863665	-4.2762136337159973E-4	-1.3191813232583847	0.0	REJECT	+H+	11808800000000	Glycerophospholipid		1	32	2		32:2	C40H77NO8P	27	2	0	27:2	C13H27NO6P	33.00	null	FTMS + p NSI d Full ms2 730.48921@cid33.00 [74.51805410563027-1406.2379521507212]
21.84	File_275.4721179737752_21.84	275.4721179737752	FTMS	+	ms2	-FA 18:1(KE)	FA 18:1	PC 31:1	PC 13:0-18:1	PC	718.538132	cid			283.0684	454.292816	339.28844011790477	-0.0	339.28844011790477	-115.00437588209525	-338957.542562106	0.0	YES	+H+	11807600000000	Glycerophospholipid		1	31	1		31:1	C39H77NO8P	18	1	0	18:1	C21H45NO7P	33.00	null	FTMS + p NSI d Full ms2 718.53822@cid33.00 [265.2509786937555-718.5352555647383]
21.55	File_299.1635478702015_21.55	299.1635478702015	FTMS	+	ms2	-FA 18:0(KE)	FA 18:0	PC 40:5	PC 18:0-22:5	PC	836.616382	cid			15.881671	570.355416	570.3538808496714	-0.0	570.3538808496714	-0.0015351503285501167	-2.691575143248192	0.0	REJECT	+H+	11818900000000	Glycerophospholipid		1	40	5		40:5	C48H87NO8P	18	0	0	18:0	C30H53NO7P	33.00	null	FTMS + p NSI d Full ms2 836.61645@cid33.00 [184.07290800021696-837.618490721705]
21.55	File_299.1635478702015_21.55	299.1635478702015	FTMS	+	ms2	-FA 22:5(KE)	FA 22:5	PC 40:5	PC 18:0-22:5	PC	836.616382	cid			51.126724	524.371066	524.3710382449834	-0.0	524.3710382449834	-2.7755016617447836E-5	-0.052930109775591455	0.0	YES	+H+	11818900000000	Glycerophospholipid		1	40	5		40:5	C48H87NO8P	22	5	0	22:5	C26H55NO7P	33.00	null	FTMS + p NSI d Full ms2 836.61645@cid33.00 [184.07290800021696-837.618490721705]
17.42	File_290.2291502475346_17.42	290.2291502475346	FTMS	+	ms2	-FA 21:3(FA)	FA 21:3	PC 37:3	PC 16:0-21:3	PC	798.600732	cid			49.6541	478.329202	478.32723436997645	-0.0	478.32723436997645	-0.0019676300235573763	-4.113564694155496	0.0	|\|	+H+	11815200000000	Glycerophospholipid		1	37	3		37:3	C45H85NO8P	21	3	0	21:3	C24H49NO6P	33.00	null	FTMS + p NSI d Full ms2 798.56468@cid33.00 [184.07636491058426-799.573573354691]
18.18	File_275.5705293480721_18.18	275.5705293480721	FTMS	+	ms2	-FA 18:1(KE)	FA 18:1	PC 31:2	PC 13:1-18:1	PC	733.549031	cid			1127.0	469.303715	184.07287097707254	-0.0	184.07287097707254	-285.2308440229275	-1549553.9484384684	0.0	YES	+NH4+	11807500000000	Glycerophospholipid		1	31	2		31:2	C39H78N2O8P	18	1	0	18:1	C21H46N2O7P	33.00	null	FTMS + p NSI d Full ms2 733.52447@cid33.00 [67.24833622817478-1519.7896987437432]
9.58	File_257.217510234688_9.58	257.217510234688	FTMS	+	ms2	-FA 21:2(KE)	FA 21:2	PC 30:2	PC 9:0-21:2	PC	702.506832	cid			459.4017	398.230216	398.2263109652114	-0.0	398.2263109652114	-0.0039050347886018244	-9.806069265330295	0.0	REJECT	+H+	11806200000000	Glycerophospholipid		1	30	2		30:2	C38H73NO8P	21	2	0	21:2	C17H37NO7P	33.00	null	FTMS + p NSI d Full ms2 702.47923@cid33.00 [171.1010808738342-668.4432599187305]
21.76	File_296.2770449052688_21.76	296.2770449052688	FTMS	+	ms2	-FA 20:5(FA)	FA 20:5	PC 38:5	PC 18:0-20:5	PC	808.585082	cid			57.82699	506.360502	506.3590405854348	-0.0	506.3590405854348	-0.001461414565198993	-2.8861231815064583	0.0	REJECT	+H+	11816300000000	Glycerophospholipid		1	38	5		38:5	C46H83NO8P	20	5	0	20:5	C26H53NO6P	33.00	null	FTMS + p NSI d Full ms2 808.58261@cid33.00 [184.07390806289484-809.5952726235549]
22.81	File_279.13022987049527_22.81	279.13022987049527	FTMS	+	ms2	-FA 12:0(FA)	FA 12:0	PC 31:0	PC 12:0-19:0	PC	720.553782	cid			60.0	520.376152	520.3741210755616	-0.0	520.3741210755616	-0.0020309244384861813	-3.9028159860995055	0.0	|\|	+H+	11807700000000	Glycerophospholipid		1	31	0		31:0	C39H79NO8P	12	0	0	12:0	C27H55NO6P	33.00	null	FTMS + p NSI d Full ms2 720.58223@cid33.00 [235.09642244050346-1391.8569851934544]
9.06	File_255.80263385026353_9.06	255.80263385026353	FTMS	+	ms2	-FA 14:3(KE)	FA 14:3	PC 30:3	PC 14:3-16:0	PC	700.491182	cid			70.0	496.339767	496.3392778713549	-0.0	496.3392778713549	-4.891286450856569E-4	-0.9854723712041848	0.0	|\|	+H+	11806100000000	Glycerophospholipid		1	30	3		30:3	C38H71NO8P	14	3	0	14:3	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 700.46311@cid33.00 [49.56843886740651-1528.3239817229346]
13.04	File_262.1366740340141_13.04	262.1366740340141	FTMS	+	ms2	-FA 13:3(KE)	FA 13:3	PC 28:3	PC 13:3-15:0	PC	672.459882	cid			151.53004	482.324117	187.09893004298746	-0.0	187.09893004298746	-295.2251869570125	-1577909.5417017199	0.0	|/|	+H+	11803500000000	Glycerophospholipid		1	28	3		28:3	C36H67NO8P	13	3	0	13:3	C23H49NO7P	33.00	null	FTMS + p NSI d Full ms2 672.46824@cid33.00 [169.08678068226664-673.3869599163064]
20.37	File_289.7055250153277_20.37	289.7055250153277	FTMS	+	ms2	-FA 20:3(FA)	FA 20:3	PC 36:3	PC 16:0-20:3	PC	784.585082	cid			4386.0	478.329202	184.0731453107672	-0.0	184.0731453107672	-294.2560566892328	-1598582.2168271525	0.0	YES	+H+	11813900000000	Glycerophospholipid		1	36	3		36:3	C44H83NO8P	20	3	0	20:3	C24H49NO6P	33.00	null	FTMS + p NSI d Full ms2 784.58624@cid33.00 [61.00667534282614-1372.5060720718168]
20.37	File_289.7055250153277_20.37	289.7055250153277	FTMS	+	ms2	-FA 20:3(KE)	FA 20:3	PC 36:3	PC 16:0-20:3	PC	784.585082	cid			39.0	496.339766	496.34377130365937	-0.0	496.34377130365937	0.0040053036593690194	8.069616042222085	0.0	REJECT	+H+	11813900000000	Glycerophospholipid		1	36	3		36:3	C44H83NO8P	20	3	0	20:3	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 784.58624@cid33.00 [61.00667534282614-1372.5060720718168]
23.57	File_288.5085809645482_23.57	288.5085809645482	FTMS	+	ms2	-FA 19:1(FA)	FA 19:1	PC 36:5	PC 17:4-19:1	PC	780.553782	cid			23.035864	484.282252	484.2855088000247	-0.0	484.2855088000247	0.0032568000246442352	6.724958656545432	0.0	REJECT	+H+	11813700000000	Glycerophospholipid		1	36	5		36:5	C44H79NO8P	19	1	0	19:1	C25H43NO6P	33.00	null	FTMS + p NSI d Full ms2 780.59032@cid33.00 [203.18209073314594-639.5749818209906]
12.29	File_268.62008544040884_12.29	268.62008544040884	FTMS	+	ms2	-FA 12:0(KE)	FA 12:0	PC 30:0	PC 12:0-18:0	PC	706.538132	cid			58.0	524.371067	524.3711684845266	-0.0	524.3711684845266	1.0148452656721929E-4	0.19353567218525278	0.0	REJECT	+H+	11806400000000	Glycerophospholipid		1	30	0		30:0	C38H77NO8P	12	0	0	12:0	C26H55NO7P	33.00	null	FTMS + p NSI d Full ms2 706.5014@cid33.00 [77.88257779393305-1439.4925096854631]
