m/z	intensity
100.03859	35.0
100.03999	0.0
100.069466	0.0
100.07087	23.0
100.07227	116.0
100.07368	233.0
100.07508	72.0
100.076485	157.0
100.07789	108.0
100.07929	23.0
100.080696	0.0
100.0821	23.0
100.0835	23.0
100.08491	23.0
100.0863	0.0
100.10596	0.0
100.10736	23.0
100.108765	114.0
100.11017	210.0
100.11157	94.0
100.112976	161.0
100.11438	70.0
100.11578	23.0
100.11719	35.0
100.11859	0.0
100.17195	0.0
100.173355	23.0
100.17476	0.0
100.548645	0.0
100.55005	23.0
100.55145	0.0
100.780914	0.0
100.78232	23.0
100.78373	0.0
100.98525	0.0
100.986664	23.0
100.98807	0.0
101.05012	0.0
101.05153	23.0
101.05294	0.0
101.05435	0.0
101.05576	47.0
101.057175	138.0
101.05858	188.0
101.05999	134.0
101.0614	101.0
101.06281	23.0
101.064224	23.0
101.065636	0.0
101.07692	0.0
101.07833	35.0
101.07974	0.0
101.09385	0.0
101.09526	23.0
101.096664	0.0
101.098076	23.0
101.09949	0.0
101.10231	0.0
101.10372	63.0
101.10513	114.0
101.106544	59.0
101.107956	132.0
101.10937	35.0
101.11078	0.0
101.11218	35.0
101.113594	59.0
101.115005	23.0
101.11642	0.0
101.77919	0.0
101.78061	23.0
101.78203	0.0
101.78344	0.0
101.78486	61.0
101.78627	35.0
101.78769	47.0
101.7891	84.0
101.79052	23.0
101.79193	23.0
101.79335	0.0
101.79759	0.0
101.79901	23.0
101.80043	0.0
102.061066	0.0
102.062485	23.0
102.0639	0.0
102.08091	0.0
102.08233	90.0
102.08375	217.0
102.08517	315.0
102.086586	1647.0
102.088	4905.0
102.08942	11274.0
102.090836	14112.0
102.092255	10201.0
102.09367	6044.0
102.09509	2907.0
102.096504	1449.0
102.09792	546.0
102.09934	245.0
102.10076	123.0
102.10218	104.0
102.10359	44.0
102.10501	44.0
102.10643	22.0
102.10785	33.0
102.10927	22.0
102.11069	0.0
102.122025	0.0
102.12344	23.0
102.12486	35.0
102.12628	35.0
102.1277	59.0
102.12912	23.0
102.13053	0.0
102.51515	0.0
102.51657	23.0
102.51799	0.0
102.69707	0.0
102.69849	23.0
102.69991	0.0
102.98448	0.0
102.9859	23.0
102.98733	0.0
103.01723	0.0
103.018654	23.0
103.02008	0.0
103.03574	0.0
103.03717	35.0
103.03859	0.0
103.06992	0.0
103.07135	23.0
103.07278	0.0
103.074196	23.0
103.07562	23.0
103.07705	0.0
103.08417	0.0
103.085594	23.0
103.08702	35.0
103.08845	58.0
103.08987	147.0
103.09129	444.0
103.09272	671.0
103.09415	733.0
103.095566	578.0
103.09699	308.0
103.09842	180.0
103.09984	81.0
103.101265	47.0
103.10269	35.0
103.10412	0.0
103.10554	35.0
103.106964	0.0
103.95353	0.0
103.954956	35.0
103.95639	0.0
103.96354	0.0
103.96497	23.0
103.9664	0.0
104.09234	0.0
104.093765	35.0
