	RetentionTime	RAW_ID	Detector	Polarity	MS dimension	Fragment name	Structure information	Lipid species	Molecular lipid species	Lipid class	MS2 Precursor m/z	MS2 Activation	MS3 Precursor m/z	MS3 Activation	Intensity	Target m/z	Measured m/z	Applied m/z correction	Corrected measured m/z	m/z offset	ppmerror	Calibration m/z offset	Is apex	Adduct	Lipid ID	Lipid category	Conflicts	Charge	C index of lipid species	DB index of lipid species	OH index of lipid species	Sum composition of lipid species	Sum formula of lipid species	C index of structure information	DB index of structure information	OH index of structure information	Sum composition of structure information	Sum formula of structure information	MS2 collision energy	MS3 collision energy	Range ID
114150	14.629766666666999	200422_M126_PM_TC_pos_Blank1-Blank1_14.629766666667	FTMS	+	ms			PC 36:2		PC					131.0	786.600732	786.59717	-0.0	786.59717	-0.003561999999988075	-4.528366152128509	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
114616	14.649766666666999	200422_M126_PM_TC_pos_Blank1-Blank1_14.649766666667	FTMS	+	ms			PC 36:2		PC					182.0	786.600732	786.5943	-0.0	786.5943	-0.006432000000017979	-8.17702340331983	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
115068	14.66975	200422_M126_PM_TC_pos_Blank1-Blank1_14.66975	FTMS	+	ms			PC 36:2		PC					276.0	786.600732	786.59705	-0.0	786.59705	-0.003682000000026164	-4.680922716435518	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
115527	14.68975	200422_M126_PM_TC_pos_Blank1-Blank1_14.68975	FTMS	+	ms			PC 36:2		PC					573.0	786.600732	786.5968	-0.0	786.5968	-0.003931999999963409	-4.998749041393772	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
115990	14.709816666666999	200422_M126_PM_TC_pos_Blank1-Blank1_14.709816666667	FTMS	+	ms			PC 36:2		PC					1134.0	786.600732	786.6018	-0.0	786.6018	0.001068000000032043	1.3577390746271407	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
116446	14.72985	200422_M126_PM_TC_pos_Blank1-Blank1_14.72985	FTMS	+	ms			PC 36:2		PC					1744.0	786.600732	786.5968	-0.0	786.5968	-0.003931999999963409	-4.998749041393772	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
116906	14.749916666667	200422_M126_PM_TC_pos_Blank1-Blank1_14.749916666667	FTMS	+	ms			PC 36:2		PC					2279.0	786.600732	786.5984	-0.0	786.5984	-0.0023320000000239816	-2.964664052232984	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
117349	14.769916666667	200422_M126_PM_TC_pos_Blank1-Blank1_14.769916666667	FTMS	+	ms			PC 36:2		PC					2541.0	786.600732	786.5973	-0.0	786.5973	-0.0034319999999752326	-4.363096593358804	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
117799	14.789933333333002	200422_M126_PM_TC_pos_Blank1-Blank1_14.789933333333	FTMS	+	ms			PC 36:2		PC					2769.0	786.600732	786.5971	-0.0	786.5971	-0.003632000000038715	-4.617357475687001	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
118252	14.809916666666998	200422_M126_PM_TC_pos_Blank1-Blank1_14.809916666667	FTMS	+	ms			PC 36:2		PC					3357.0	786.600732	786.6010000000001	-0.0	786.6010000000001	0.00026800000000548607	0.3407064064315785	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
