m/z	intensity
100.03545	9.0
100.03686	9.0
100.03826	0.0
100.06773	0.0
100.06914	19.0
100.07054	14.0
100.071945	41.0
100.07335	180.0
100.07475	161.0
100.07616	170.0
100.07756	84.0
100.078964	72.0
100.08037	25.0
100.08177	9.0
100.083176	14.0
100.08458	0.0
100.08598	9.0
100.08739	0.0
100.0958	0.0
100.097206	9.0
100.09861	0.0
100.104225	0.0
100.10563	24.0
100.10703	56.0
100.10844	85.0
100.10984	131.0
100.111244	184.0
100.11265	194.0
100.11405	104.0
100.115456	69.0
100.11686	34.0
100.11826	26.0
100.11967	9.0
100.12107	0.0
100.123886	0.0
100.12529	9.0
100.12669	0.0
100.75805	0.0
100.75946	9.0
100.760864	0.0
100.8313	0.0
100.8327	9.0
100.834114	0.0
100.841156	0.0
100.84257	9.0
100.84398	0.0
101.02158	0.0
101.022995	14.0
101.02441	0.0
101.02581	9.0
101.02722	0.0
101.05261	0.0
101.05402	9.0
101.05543	64.0
101.05684	112.0
101.05825	182.0
101.05966	170.0
101.06107	163.0
101.062485	67.0
101.063896	30.0
101.0653	14.0
101.06671	19.0
101.06812	9.0
101.069534	9.0
101.070946	9.0
101.07236	0.0
101.07377	14.0
101.07518	0.0
101.07659	9.0
101.077995	14.0
101.07941	0.0
101.08929	0.0
101.09069	14.0
101.0921	9.0
101.09351	24.0
101.094925	26.0
101.09634	19.0
101.09775	0.0
101.09916	0.0
101.10057	14.0
101.10198	19.0
101.10339	24.0
101.104805	192.0
101.10621	210.0
101.10762	165.0
101.10903	115.0
101.11044	50.0
101.111855	34.0
101.113266	34.0
101.11468	19.0
101.11609	14.0
101.1175	14.0
101.11891	9.0
101.12032	0.0
101.75197	0.0
101.75339	9.0
101.7548	0.0
101.77886	0.0
101.78027	9.0
101.78169	14.0
101.783104	14.0
101.78452	19.0
101.78594	33.0
101.78735	33.0
101.78877	28.0
101.790184	29.0
101.7916	24.0
101.793015	14.0
101.79443	9.0
101.795845	9.0
101.797264	0.0
101.800095	0.0
101.801506	19.0
101.802925	0.0
101.804344	0.0
101.805756	9.0
101.807175	0.0
101.808586	9.0
101.810005	0.0
101.81567	0.0
101.817085	9.0
101.8185	0.0
101.82558	0.0
101.826996	14.0
101.82841	0.0
102.01396	0.0
102.01538	9.0
102.0168	0.0
102.05365	0.0
102.05506	9.0
102.05648	0.0
